date,priority,company,title,location,status,application_url,packet_dir,resume_file
2026-07-20,1,Deepgram,"Software Engineering Internship - Fall 2026/Summer 2027","Remote - USA",ready,https://jobs.ashbyhq.com/deepgram/dc8693b5-72ce-4ca3-ab15-9c8434d35da1,application-packets/2026-07-20/deepgram_software-engineering-intern,application-packets/2026-07-20/deepgram_software-engineering-intern/resume.pdf
2026-07-20,2,WonderBotz,"Junior Software Engineer","Princeton, NJ",needs_review,http://wonderbotz.applytojob.com/apply/RrI9QanYDY/Junior-Software-Engineer,application-packets/2026-07-20/wonderbotz_junior-software-engineer,application-packets/2026-07-20/wonderbotz_junior-software-engineer/resume.pdf
2026-07-20,3,Esri,"Software Engineer I - Front-End Engineer for ArcGIS Enterprise","Redlands, CA",needs_review,https://www.esri.com/careers/5190253007?gh_jid=5190253007,application-packets/2026-07-20/esri_software-engineer-i-front-end,application-packets/2026-07-20/esri_software-engineer-i-front-end/resume.pdf

